ANNO,AteneoCOD,AteneoNOME,AteneoREGIONE,CorsoTIPO,COD_FoET2013,DESC_FoET2013,ClasseGENERE,N_ClasseGENERE
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,2,Arts and humanities,Prev_M,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,3,"Social sciences, journalism and information",Neutri,3
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,3,"Social sciences, journalism and information",Prev_F,2
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,3,"Social sciences, journalism and information",Prev_M,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,4,"Business, administration and law",Neutri,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,4,"Business, administration and law",Prev_F,2
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,5,"Natural sciences, mathematics and statistics",Neutri,3
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,5,"Natural sciences, mathematics and statistics",Prev_F,4
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,5,"Natural sciences, mathematics and statistics",Prev_M,4
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,6,Information and Communication Technologies (ICTs),Prev_M,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,7,"Engineering, manufacturing and construction",Neutri,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,7,"Engineering, manufacturing and construction",Prev_M,4
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,8,"Agriculture, forestry, fisheries and veterinary",Neutri,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,8,"Agriculture, forestry, fisheries and veterinary",Prev_F,3
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,8,"Agriculture, forestry, fisheries and veterinary",Prev_M,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,9,Health and welfare,Neutri,2
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,9,Health and welfare,Prev_F,4
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,1,Education,Prev_F,2
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,2,Arts and humanities,Neutri,2
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,2,Arts and humanities,Prev_F,7
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,3,"Social sciences, journalism and information",Neutri,3
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,3,"Social sciences, journalism and information",Prev_F,7
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,3,"Social sciences, journalism and information",Prev_M,3
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,4,"Business, administration and law",Neutri,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,4,"Business, administration and law",Prev_F,3
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",Neutri,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",Prev_F,6
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",Prev_M,4
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,6,Information and Communication Technologies (ICTs),Prev_M,2
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,7,"Engineering, manufacturing and construction",Neutri,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,7,"Engineering, manufacturing and construction",Prev_F,2
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,7,"Engineering, manufacturing and construction",Prev_M,4
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",Prev_F,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,9,Health and welfare,Neutri,2
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,9,Health and welfare,Prev_F,3
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,4,"Business, administration and law",Prev_F,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,8,"Agriculture, forestry, fisheries and veterinary",Prev_F,2
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,9,Health and welfare,Neutri,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,9,Health and welfare,Prev_F,4
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,9,Health and welfare,Prev_M,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Vecchio Ordinamento,1,Education,Prev_F,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Vecchio Ordinamento,2,Arts and humanities,Prev_F,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Vecchio Ordinamento,3,"Social sciences, journalism and information",Prev_F,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Vecchio Ordinamento,4,"Business, administration and law",Prev_F,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Vecchio Ordinamento,5,"Natural sciences, mathematics and statistics",Prev_F,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Vecchio Ordinamento,7,"Engineering, manufacturing and construction",Prev_M,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Vecchio Ordinamento,8,"Agriculture, forestry, fisheries and veterinary",Prev_F,1
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Vecchio Ordinamento,9,Health and welfare,Prev_M,1
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,1,Education,Prev_F,1
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,2,Arts and humanities,Neutri,3
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,2,Arts and humanities,Prev_F,7
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,2,Arts and humanities,Prev_M,2
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,3,"Social sciences, journalism and information",Neutri,2
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,3,"Social sciences, journalism and information",Prev_F,4
